gen	nevals	max	avg  	std    
0  	100   	160	139.6	17.7155
1  	84    	160	143.7	16.2883
2  	87    	160	145.9	15.6266
3  	86    	160	149.1	13.7909
4  	94    	160	146.9	15.1456
5  	75    	160	146.9	15.3424
6  	75    	160	145.4	16.5179
7  	73    	160	149.8	14.6274
8  	73    	160	150.6	14.3402
9  	81    	160	146.1	15.4204
10 	69    	160	147.9	15.511 
11 	79    	160	149  	15.6525
12 	82    	160	149.6	15.1605
13 	81    	160	149  	15.3297
14 	74    	160	146.9	16.2293
15 	79    	160	147.8	15.848 
16 	71    	160	149.9	15.264 
17 	74    	160	153  	12.2882
18 	68    	160	150.4	14.8943
19 	82    	160	146.8	15.5486
20 	84    	160	150.1	13.2284
21 	89    	160	147.1	16.0184
22 	80    	160	147.2	15.7531
23 	88    	160	147.6	15.5641
24 	82    	160	147.8	15.911 
25 	82    	160	149.4	15.8632
26 	82    	160	149.9	14.9328
27 	81    	160	147.4	17.0658
28 	76    	160	151  	13.1529
29 	76    	160	149.6	14.4167
30 	84    	160	148.8	15.7022
31 	83    	160	149.6	14.4859
32 	74    	160	149  	13.8203
33 	80    	160	147.8	14.6683
34 	79    	160	149.7	14.2446
35 	88    	160	148.8	15.9549
36 	78    	160	149.2	15.2105
37 	74    	160	148.9	14.4841
38 	88    	160	148.7	14.7414
39 	71    	160	147.6	16.3169
40 	82    	160	147.4	16.0387
41 	75    	160	148.2	14.7905
42 	84    	160	148.7	13.759 
43 	83    	160	145.4	15.7747
44 	73    	160	146  	15.6205
45 	84    	160	148.4	13.98  
46 	82    	160	145.2	17.4631
47 	84    	160	144.9	16.1552
48 	79    	160	149.5	14.0979
49 	87    	160	150.3	15.2614
50 	81    	160	150.8	12.6238
51 	83    	160	149.3	14.5777
52 	74    	160	151.4	13.3432
53 	82    	160	148.2	16.5759
54 	78    	160	147.8	16.0362
55 	77    	160	147.9	14.8523
56 	86    	160	147.6	14.4997
57 	82    	160	148.1	14.8792
58 	79    	160	148.3	15.878 
59 	82    	160	146.8	17.2557
60 	89    	160	147.7	15.6112
61 	83    	160	147.4	16.3475
62 	78    	160	148.6	16.6145
63 	84    	160	149.6	13.7782
64 	75    	160	151.1	15.0263
65 	82    	160	147.3	17.5986
66 	79    	160	147.4	15.9135
67 	79    	160	151.4	13.4179
68 	87    	160	148.5	14.9917
69 	85    	160	150.7	14.0894
70 	85    	160	147.5	15.6445
71 	73    	160	149.9	14.0353
72 	81    	160	147.7	15.0901
73 	85    	160	147.1	15.7667
74 	74    	160	148.5	14.7902
75 	70    	160	149  	15.3297
76 	73    	160	150.6	13.9871
77 	72    	160	151  	14.3875
78 	86    	160	149.7	15.1957
79 	78    	160	150.4	14.4859
80 	85    	160	150.3	14.3844
81 	79    	160	150.7	13.5834
82 	89    	160	147.7	15.6751
83 	76    	160	147.3	15.7388
84 	76    	160	148.1	15.0795
85 	78    	160	147.3	15.4826
86 	83    	160	149.2	14.8108
87 	89    	160	149  	13.9642
88 	78    	160	147.6	15.5641
89 	69    	160	149.6	15.3571
90 	86    	160	149  	16.4012
