gen:0 evo,best dist :1909.9869323446399
gen:1 evo,best dist :1515.7310563912552
gen:2 evo,best dist :1438.737513332611
gen:3 evo,best dist :1438.737513332611
gen:4 evo,best dist :1323.0115271695965
gen:5 evo,best dist :1280.437421348762
gen:6 evo,best dist :1207.7868849361564
gen:7 evo,best dist :1212.9557014747977
gen:8 evo,best dist :1212.9557014747977
gen:9 evo,best dist :1207.6388914069205
gen:10 evo,best dist :1207.6388914069205
gen:11 evo,best dist :1192.443340278347
gen:12 evo,best dist :1168.6518719360763
gen:13 evo,best dist :1140.0820288694697
gen:14 evo,best dist :1140.0820288694697
gen:15 evo,best dist :1140.0820288694697
gen:16 evo,best dist :1044.4318013004552
gen:17 evo,best dist :1093.462720954548
gen:18 evo,best dist :1093.462720954548
gen:19 evo,best dist :1072.4402031645998
gen:20 evo,best dist :1057.039895449827
gen:21 evo,best dist :1008.2379825915816
gen:22 evo,best dist :1106.056363127319
gen:23 evo,best dist :1047.4231597361418
gen:24 evo,best dist :947.4038888333067
gen:25 evo,best dist :947.1461999672086
gen:26 evo,best dist :931.8374432350334
gen:27 evo,best dist :912.0489169546921
gen:28 evo,best dist :912.0489169546921
gen:29 evo,best dist :910.8369431560565
gen:30 evo,best dist :902.8959043211461
gen:31 evo,best dist :902.3661294477962
gen:32 evo,best dist :909.9081496523222
gen:33 evo,best dist :860.417570385019
gen:34 evo,best dist :847.666161312061
gen:35 evo,best dist :847.666161312061
gen:36 evo,best dist :831.8862275904867
gen:37 evo,best dist :812.0721231016985
gen:38 evo,best dist :793.679435387751
gen:39 evo,best dist :793.679435387751
gen:40 evo,best dist :793.679435387751
gen:41 evo,best dist :793.679435387751
gen:42 evo,best dist :793.679435387751
gen:43 evo,best dist :793.679435387751
gen:44 evo,best dist :793.679435387751
gen:45 evo,best dist :793.679435387751
gen:46 evo,best dist :793.679435387751
gen:47 evo,best dist :793.679435387751
gen:48 evo,best dist :793.679435387751
gen:49 evo,best dist :793.679435387751
gen:50 evo,best dist :793.3056485360705
gen:51 evo,best dist :792.5262077503605
gen:52 evo,best dist :773.6609148356195
gen:53 evo,best dist :773.6609148356195
gen:54 evo,best dist :773.6609148356195
gen:55 evo,best dist :773.6609148356195
gen:56 evo,best dist :773.6609148356195
gen:57 evo,best dist :773.6609148356195
gen:58 evo,best dist :773.6609148356195
gen:59 evo,best dist :773.6609148356195
gen:60 evo,best dist :773.6609148356195
gen:61 evo,best dist :773.6609148356195
gen:62 evo,best dist :773.6609148356195
gen:63 evo,best dist :773.6609148356195
gen:64 evo,best dist :762.4231702667041
gen:65 evo,best dist :749.1941995947097
gen:66 evo,best dist :829.2918916686692
gen:67 evo,best dist :749.1941995947097
gen:68 evo,best dist :741.2816813895292
gen:69 evo,best dist :730.6279380163753
gen:70 evo,best dist :730.6279380163753
gen:71 evo,best dist :730.6279380163753
gen:72 evo,best dist :730.259440485735
gen:73 evo,best dist :718.9037936101098
gen:74 evo,best dist :709.5080676665722
gen:75 evo,best dist :709.5080676665722
gen:76 evo,best dist :709.5080676665722
gen:77 evo,best dist :699.7312356692001
gen:78 evo,best dist :699.7312356692001
gen:79 evo,best dist :699.7312356692001
gen:80 evo,best dist :699.7312356692001
gen:81 evo,best dist :699.7312356692001
gen:82 evo,best dist :699.7312356692001
gen:83 evo,best dist :699.7312356692001
gen:84 evo,best dist :699.7312356692001
gen:85 evo,best dist :699.7312356692001
gen:86 evo,best dist :699.7312356692001
gen:87 evo,best dist :699.7312356692001
gen:88 evo,best dist :699.7312356692001
gen:89 evo,best dist :699.7312356692001
gen:90 evo,best dist :699.7312356692001
gen:91 evo,best dist :699.7312356692001
gen:92 evo,best dist :682.9510267004672
gen:93 evo,best dist :682.9510267004672
gen:94 evo,best dist :674.3852863594981
gen:95 evo,best dist :674.3852863594981
gen:96 evo,best dist :674.3852863594981
gen:97 evo,best dist :674.3852863594981
gen:98 evo,best dist :674.3852863594981
gen:99 evo,best dist :674.3852863594981
gen:100 evo,best dist :674.3852863594981
gen:101 evo,best dist :674.3852863594981
gen:102 evo,best dist :674.3852863594981
gen:103 evo,best dist :674.3852863594981
gen:104 evo,best dist :674.3852863594981
gen:105 evo,best dist :674.1546799999834
gen:106 evo,best dist :674.1546799999834
gen:107 evo,best dist :674.1546799999834
gen:108 evo,best dist :674.1546799999834
gen:109 evo,best dist :670.4766520203416
gen:110 evo,best dist :674.3852863594981
gen:111 evo,best dist :670.4766520203416
gen:112 evo,best dist :670.4766520203416
gen:113 evo,best dist :670.4766520203416
gen:114 evo,best dist :670.2460456608269
gen:115 evo,best dist :690.2806369646332
gen:116 evo,best dist :670.2460456608269
gen:117 evo,best dist :670.2460456608269
gen:118 evo,best dist :668.8508091077515
gen:119 evo,best dist :668.8508091077515
gen:120 evo,best dist :664.2059545312991
gen:121 evo,best dist :664.2059545312991
gen:122 evo,best dist :656.258470240352
gen:123 evo,best dist :656.258470240352
gen:124 evo,best dist :656.258470240352
gen:125 evo,best dist :656.258470240352
gen:126 evo,best dist :656.258470240352
gen:127 evo,best dist :655.6988672376739
gen:128 evo,best dist :655.6988672376739
gen:129 evo,best dist :647.7550850277274
gen:130 evo,best dist :647.7550850277274
gen:131 evo,best dist :636.4539228504153
gen:132 evo,best dist :636.4539228504153
gen:133 evo,best dist :636.4539228504153
gen:134 evo,best dist :636.4539228504153
gen:135 evo,best dist :636.4539228504153
gen:136 evo,best dist :636.4539228504153
gen:137 evo,best dist :636.4539228504153
gen:138 evo,best dist :636.4539228504153
gen:139 evo,best dist :636.4539228504153
gen:140 evo,best dist :636.4539228504153
gen:141 evo,best dist :636.4539228504153
gen:142 evo,best dist :631.9501809298213
gen:143 evo,best dist :631.9501809298213
gen:144 evo,best dist :631.9501809298213
gen:145 evo,best dist :631.9501809298213
gen:146 evo,best dist :631.9501809298213
gen:147 evo,best dist :631.9501809298213
gen:148 evo,best dist :624.8974653888625
gen:149 evo,best dist :624.8974653888625
gen:150 evo,best dist :624.8974653888625
gen:151 evo,best dist :624.8974653888625
gen:152 evo,best dist :624.8974653888625
gen:153 evo,best dist :624.8974653888625
gen:154 evo,best dist :624.8974653888625
gen:155 evo,best dist :624.8974653888625
gen:156 evo,best dist :624.8974653888625
gen:157 evo,best dist :624.8974653888625
gen:158 evo,best dist :624.8974653888625
gen:159 evo,best dist :624.8974653888625
gen:160 evo,best dist :624.8974653888625
gen:161 evo,best dist :624.8974653888625
gen:162 evo,best dist :624.8974653888625
gen:163 evo,best dist :624.8974653888625
gen:164 evo,best dist :624.8974653888625
gen:165 evo,best dist :624.8974653888625
gen:166 evo,best dist :624.8974653888625
gen:167 evo,best dist :624.8974653888625
gen:168 evo,best dist :624.8974653888625
gen:169 evo,best dist :624.8974653888625
gen:170 evo,best dist :624.8974653888625
gen:171 evo,best dist :624.8974653888625
gen:172 evo,best dist :624.8974653888625
gen:173 evo,best dist :624.8974653888625
gen:174 evo,best dist :624.8974653888625
gen:175 evo,best dist :624.8974653888625
gen:176 evo,best dist :624.8974653888625
gen:177 evo,best dist :624.8974653888625
gen:178 evo,best dist :624.8974653888625
gen:179 evo,best dist :615.1397719306487
gen:180 evo,best dist :615.1397719306487
gen:181 evo,best dist :615.1397719306487
gen:182 evo,best dist :615.1397719306487
gen:183 evo,best dist :615.1397719306487
gen:184 evo,best dist :607.7389361922728
gen:185 evo,best dist :607.7389361922728
gen:186 evo,best dist :607.7389361922728
gen:187 evo,best dist :607.7389361922728
gen:188 evo,best dist :607.7389361922728
gen:189 evo,best dist :607.7389361922728
gen:190 evo,best dist :607.7389361922728
gen:191 evo,best dist :607.7389361922728
gen:192 evo,best dist :607.7389361922728
gen:193 evo,best dist :607.7389361922728
gen:194 evo,best dist :607.7389361922728
gen:195 evo,best dist :607.7389361922728
gen:196 evo,best dist :607.7389361922728
gen:197 evo,best dist :607.7389361922728
gen:198 evo,best dist :607.7389361922728
gen:199 evo,best dist :607.7389361922728
gen:200 evo,best dist :607.7389361922728
gen:201 evo,best dist :607.7389361922728
gen:202 evo,best dist :607.7389361922728
gen:203 evo,best dist :607.7389361922728
gen:204 evo,best dist :607.7389361922728
gen:205 evo,best dist :607.7389361922728
gen:206 evo,best dist :607.7389361922728
gen:207 evo,best dist :607.7389361922728
gen:208 evo,best dist :607.7389361922728
gen:209 evo,best dist :607.7389361922728
gen:210 evo,best dist :607.7389361922728
gen:211 evo,best dist :607.7389361922728
gen:212 evo,best dist :607.7389361922728
gen:213 evo,best dist :607.7389361922728
gen:214 evo,best dist :607.7389361922728
gen:215 evo,best dist :607.7389361922728
gen:216 evo,best dist :607.7389361922728
gen:217 evo,best dist :607.7389361922728
gen:218 evo,best dist :607.7389361922728
gen:219 evo,best dist :607.7389361922728
gen:220 evo,best dist :607.7389361922728
gen:221 evo,best dist :607.7389361922728
gen:222 evo,best dist :607.7389361922728
gen:223 evo,best dist :607.7389361922728
gen:224 evo,best dist :607.7389361922728
gen:225 evo,best dist :607.7389361922728
gen:226 evo,best dist :607.7389361922728
gen:227 evo,best dist :607.7389361922728
gen:228 evo,best dist :607.7389361922728
gen:229 evo,best dist :601.7873322071806
gen:230 evo,best dist :601.7873322071806
gen:231 evo,best dist :601.7873322071806
gen:232 evo,best dist :601.7873322071806
gen:233 evo,best dist :601.7873322071806
gen:234 evo,best dist :601.7873322071806
gen:235 evo,best dist :601.7873322071806
gen:236 evo,best dist :601.7873322071806
gen:237 evo,best dist :601.7873322071806
gen:238 evo,best dist :601.7873322071806
gen:239 evo,best dist :601.7873322071806
gen:240 evo,best dist :601.7873322071806
gen:241 evo,best dist :601.7873322071806
gen:242 evo,best dist :601.7873322071806
gen:243 evo,best dist :601.7873322071806
gen:244 evo,best dist :601.7873322071806
gen:245 evo,best dist :594.5515446877918
gen:246 evo,best dist :594.5515446877918
gen:247 evo,best dist :594.5515446877918
gen:248 evo,best dist :594.5515446877918
gen:249 evo,best dist :594.5515446877918
gen:250 evo,best dist :594.5515446877918
gen:251 evo,best dist :594.5515446877918
gen:252 evo,best dist :589.5367317696462
gen:253 evo,best dist :589.5367317696462
gen:254 evo,best dist :588.785163819412
gen:255 evo,best dist :588.785163819412
gen:256 evo,best dist :588.785163819412
gen:257 evo,best dist :588.785163819412
gen:258 evo,best dist :576.7225132662824
gen:259 evo,best dist :576.7225132662824
gen:260 evo,best dist :576.7225132662824
gen:261 evo,best dist :576.7225132662824
gen:262 evo,best dist :576.7225132662824
gen:263 evo,best dist :576.7225132662824
gen:264 evo,best dist :576.7225132662824
gen:265 evo,best dist :576.7225132662824
gen:266 evo,best dist :576.7225132662824
gen:267 evo,best dist :576.7225132662824
gen:268 evo,best dist :576.7225132662824
gen:269 evo,best dist :576.7225132662824
gen:270 evo,best dist :576.7225132662824
gen:271 evo,best dist :576.7225132662824
gen:272 evo,best dist :576.7225132662824
gen:273 evo,best dist :576.7225132662824
gen:274 evo,best dist :576.7225132662824
gen:275 evo,best dist :576.7225132662824
gen:276 evo,best dist :576.7225132662824
gen:277 evo,best dist :576.7225132662824
gen:278 evo,best dist :576.7225132662824
gen:279 evo,best dist :576.7225132662824
gen:280 evo,best dist :576.7225132662824
gen:281 evo,best dist :576.7225132662824
gen:282 evo,best dist :576.7225132662824
gen:283 evo,best dist :576.7225132662824
gen:284 evo,best dist :576.7225132662824
gen:285 evo,best dist :576.7225132662824
gen:286 evo,best dist :576.7225132662824
gen:287 evo,best dist :576.7225132662824
gen:288 evo,best dist :570.9212623396112
gen:289 evo,best dist :570.9212623396112
gen:290 evo,best dist :570.9212623396112
gen:291 evo,best dist :570.9212623396112
gen:292 evo,best dist :570.9212623396112
gen:293 evo,best dist :570.9212623396112
gen:294 evo,best dist :570.9212623396112
gen:295 evo,best dist :570.9212623396112
gen:296 evo,best dist :570.9212623396112
gen:297 evo,best dist :570.9212623396112
gen:298 evo,best dist :570.9212623396112
gen:299 evo,best dist :570.9212623396112
gen:300 evo,best dist :565.2335642392954
gen:301 evo,best dist :565.2335642392954
gen:302 evo,best dist :565.2335642392954
gen:303 evo,best dist :565.2335642392954
gen:304 evo,best dist :565.2335642392954
gen:305 evo,best dist :565.2335642392954
gen:306 evo,best dist :565.2335642392954
gen:307 evo,best dist :565.2335642392954
gen:308 evo,best dist :565.2335642392954
gen:309 evo,best dist :565.2335642392954
gen:310 evo,best dist :565.2335642392954
gen:311 evo,best dist :565.2335642392954
gen:312 evo,best dist :565.2335642392954
gen:313 evo,best dist :565.2335642392954
gen:314 evo,best dist :565.2335642392954
gen:315 evo,best dist :565.2335642392954
gen:316 evo,best dist :540.4184108969959
gen:317 evo,best dist :540.4184108969959
gen:318 evo,best dist :579.8215047978488
gen:319 evo,best dist :540.4184108969959
gen:320 evo,best dist :540.4184108969959
gen:321 evo,best dist :540.4184108969959
gen:322 evo,best dist :540.4184108969959
gen:323 evo,best dist :540.4184108969959
gen:324 evo,best dist :536.3833074634841
gen:325 evo,best dist :536.3833074634841
gen:326 evo,best dist :536.3833074634841
gen:327 evo,best dist :531.8769048333623
gen:328 evo,best dist :531.8769048333623
gen:329 evo,best dist :531.8769048333623
gen:330 evo,best dist :531.8769048333623
gen:331 evo,best dist :531.8769048333623
gen:332 evo,best dist :531.8769048333623
gen:333 evo,best dist :531.8769048333623
gen:334 evo,best dist :531.8769048333623
gen:335 evo,best dist :531.8769048333623
gen:336 evo,best dist :531.8769048333623
gen:337 evo,best dist :531.8769048333623
gen:338 evo,best dist :531.8769048333623
gen:339 evo,best dist :531.8769048333623
gen:340 evo,best dist :531.8769048333623
gen:341 evo,best dist :531.8769048333623
gen:342 evo,best dist :531.8769048333623
gen:343 evo,best dist :531.8769048333623
gen:344 evo,best dist :531.8769048333623
gen:345 evo,best dist :531.8769048333623
gen:346 evo,best dist :531.8769048333623
gen:347 evo,best dist :531.8769048333623
gen:348 evo,best dist :531.8769048333623
gen:349 evo,best dist :531.8769048333623
gen:350 evo,best dist :531.8769048333623
gen:351 evo,best dist :531.8769048333623
gen:352 evo,best dist :531.8769048333623
gen:353 evo,best dist :531.8769048333623
gen:354 evo,best dist :531.8769048333623
gen:355 evo,best dist :531.8769048333623
gen:356 evo,best dist :531.1074264857062
gen:357 evo,best dist :531.1074264857062
gen:358 evo,best dist :531.1074264857062
gen:359 evo,best dist :531.1074264857062
gen:360 evo,best dist :531.1074264857062
gen:361 evo,best dist :531.1074264857062
gen:362 evo,best dist :531.1074264857062
gen:363 evo,best dist :531.1074264857062
gen:364 evo,best dist :531.1074264857062
gen:365 evo,best dist :531.1074264857062
gen:366 evo,best dist :531.1074264857062
gen:367 evo,best dist :531.1074264857062
gen:368 evo,best dist :531.1074264857062
gen:369 evo,best dist :531.1074264857062
gen:370 evo,best dist :531.1074264857062
gen:371 evo,best dist :531.1074264857062
gen:372 evo,best dist :531.1074264857062
gen:373 evo,best dist :531.1074264857062
gen:374 evo,best dist :531.1074264857062
gen:375 evo,best dist :531.1074264857062
gen:376 evo,best dist :531.1074264857062
gen:377 evo,best dist :531.1074264857062
gen:378 evo,best dist :529.1129360027226
gen:379 evo,best dist :529.1129360027226
gen:380 evo,best dist :622.9073380058124
gen:381 evo,best dist :622.9073380058124
gen:382 evo,best dist :573.3522787348405
gen:383 evo,best dist :640.4482500634824
gen:384 evo,best dist :601.5775857485845
gen:385 evo,best dist :531.1074264857062
gen:386 evo,best dist :531.1074264857062
gen:387 evo,best dist :531.1074264857062
gen:388 evo,best dist :531.1074264857062
gen:389 evo,best dist :531.1074264857062
gen:390 evo,best dist :531.1074264857062
gen:391 evo,best dist :531.1074264857062
gen:392 evo,best dist :531.1074264857062
gen:393 evo,best dist :531.1074264857062
gen:394 evo,best dist :531.1074264857062
gen:395 evo,best dist :528.2569836889562
gen:396 evo,best dist :528.2569836889562
gen:397 evo,best dist :526.0565691290731
gen:398 evo,best dist :526.0565691290731
gen:399 evo,best dist :526.0565691290731
gen:400 evo,best dist :526.0565691290731
gen:401 evo,best dist :523.2061263323232
gen:402 evo,best dist :520.5828790926591
gen:403 evo,best dist :520.5828790926591
gen:404 evo,best dist :520.5828790926591
gen:405 evo,best dist :520.5828790926591
gen:406 evo,best dist :516.0010617195259
gen:407 evo,best dist :516.0010617195259
gen:408 evo,best dist :516.0010617195259
gen:409 evo,best dist :516.0010617195259
gen:410 evo,best dist :516.0010617195259
gen:411 evo,best dist :516.0010617195259
gen:412 evo,best dist :516.0010617195259
gen:413 evo,best dist :516.0010617195259
gen:414 evo,best dist :516.0010617195259
gen:415 evo,best dist :516.0010617195259
gen:416 evo,best dist :516.0010617195259
gen:417 evo,best dist :516.0010617195259
gen:418 evo,best dist :516.0010617195259
gen:419 evo,best dist :516.0010617195259
gen:420 evo,best dist :516.0010617195259
gen:421 evo,best dist :516.0010617195259
gen:422 evo,best dist :516.0010617195259
gen:423 evo,best dist :516.0010617195259
gen:424 evo,best dist :516.0010617195259
